"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","14471","2.1 Dashboard Metrics Visibility","chromium","2026-05-13","failed","2026-05-13","Overview Dashboard","","",""
"","9923","seed","chromium","2026-05-13","passed","2026-05-13","MOJO Pro — Seed (Environment Bootstrap)","","",""
"","10908","2.4 Date Range Toggle — This Month dropdown","chromium","2026-05-13","passed","2026-05-13","Overview Dashboard","","",""
"","11713","2.5 Performance Chart — Spend vs CPA metric dropdown","chromium","2026-05-13","passed","2026-05-13","Overview Dashboard","","",""
"","4232","5.2 Logout Flow Returns to Login Page","chromium","2026-05-13","passed","2026-05-13","Session & Security","","",""
"","24486","3.4 Navigate to User Management","chromium","2026-05-13","failed","2026-05-13","Navigation Menu","","",""
"","23392","3.3 Navigate to Reports","chromium","2026-05-13","failed","2026-05-13","Navigation Menu","","",""
"","1635","5.1 Direct URL Access Without Login Redirects to Auth","chromium","2026-05-13","passed","2026-05-13","Session & Security","","",""
"","23436","3.2 Navigate to Performance Dashboard","chromium","2026-05-13","failed","2026-05-13","Navigation Menu","","",""
"","13648","3.1 Tools Menu Opens on Click with All Expected Items","chromium","2026-05-13","failed","2026-05-13","Navigation Menu","","",""
"","10827","2.3 Metric View Toggle — Overall dropdown","chromium","2026-05-13","passed","2026-05-13","Overview Dashboard","","",""
"","14033","4.2 Region / Currency Selector Opens","chromium","2026-05-13","failed","2026-05-13","Header & Global Controls","","",""
"","7972","1.2 Login with Invalid Credentials","chromium","2026-05-13","passed","2026-05-13","Authentication & Login","","",""
"","13612","4.1 All Clients Dropdown Opens","chromium","2026-05-13","failed","2026-05-13","Header & Global Controls","","",""
"","6906","1.3 Login with Empty Fields","chromium","2026-05-13","passed","2026-05-13","Authentication & Login","","",""
"","9484","1.4 Product Selection — Click MOJO Pro","chromium","2026-05-13","passed","2026-05-13","Authentication & Login","","",""
"","8658","4.3 Page Title is Mojo","chromium","2026-05-13","passed","2026-05-13","Header & Global Controls","","",""
"","14141","2.2 Add Filter Interaction","chromium","2026-05-13","failed","2026-05-13","Overview Dashboard","","",""
"","11632","2.6 Add Client Button is Visible and Clickable","chromium","2026-05-13","passed","2026-05-13","Overview Dashboard","","",""
"","6960","1.1 Successful Login with Valid Credentials","chromium","2026-05-13","passed","2026-05-13","Authentication & Login","","",""
"","13693","3.5 Notifications Panel Opens on Click","chromium","2026-05-13","failed","2026-05-13","Navigation Menu","","",""
